label,timestamp,duration,pkg,dram,socket
IoT,1724443018.9513068,15906.293,176025.0,6713.0,0
IoT,1724443018.967705,10013.621,113586.0,3723.0,0
IoT,1724443018.9778779,9612.23,112366.0,3540.0,0
IoT,1724443018.987762,10698.779,133727.0,6103.0,0
IoT,1724443018.998786,11318.107,129517.0,8606.0,0
IoT,1724443019.0105448,9923.938,109436.0,5127.0,0
IoT,1724443019.0207963,10063.217,104858.0,3968.0,0
IoT,1724443019.0310962,11443.397,134704.0,5493.0,0
IoT,1724443019.042723,10580.488,136963.0,6897.0,0
IoT,1724443019.0537002,9807.024,108642.0,4211.0,0
IoT,1724443019.0637908,9670.619,106262.0,3967.0,0
IoT,1724443019.0737414,9854.55,119507.0,5432.0,0
IoT,1724443019.0837793,11197.895,130065.0,7264.0,0
IoT,1724443019.095092,10005.32,110229.0,4333.0,0
IoT,1724443019.1053126,9845.985,107727.0,4028.0,0
IoT,1724443019.1155224,10341.852,113037.0,5371.0,0
IoT,1724443019.1261718,10165.566,131713.0,6286.0,0
IoT,1724443019.1366577,9883.603,112488.0,5005.0,0
IoT,1724443019.1467125,9653.814,93627.0,4090.0,0
IoT,1724443019.1566575,10124.155,120728.0,4943.0,0
IoT,1724443019.1668925,9593.74,119445.0,4639.0,0
IoT,1724443019.176596,10838.417,131164.0,6958.0,0
IoT,1724443019.1876695,9732.084,110169.0,4028.0,0
IoT,1724443019.1977148,10348.984,121032.0,5066.0,0
IoT,1724443019.208548,10064.789,133850.0,5432.0,0
IoT,1724443019.2188647,10239.696,115966.0,5798.0,0
IoT,1724443019.2295225,9938.037,106201.0,4029.0,0
IoT,1724443019.239836,10546.183,127868.0,5432.0,0
IoT,1724443019.2508097,10179.61,121765.0,5249.0,0
IoT,1724443019.2612538,10757.412,124512.0,5859.0,0
IoT,1724443019.2724917,9931.911,112853.0,4334.0,0
IoT,1724443019.2827475,10330.353,115173.0,4638.0,0
IoT,1724443019.2932472,10337.662,131897.0,5554.0,0
IoT,1724443019.3038237,10528.296,113647.0,5921.0,0
IoT,1724443019.3145542,9737.002,94909.0,3601.0,0
IoT,1724443019.3247278,10489.48,109130.0,4883.0,0
IoT,1724443019.335431,10486.246,113159.0,4944.0,0
IoT,1724443019.3461263,11018.448,124145.0,6104.0,0
IoT,1724443019.3575785,10137.697,104187.0,3967.0,0
IoT,1724443019.3678627,10659.139,124267.0,5554.0,0
