label,timestamp,duration,pkg,dram,socket
Authentication,1724942054.6908839,3051665.698,17135027.0,1033750.0,0
Authentication,1724942057.7427,11704.902,123779.0,4334.0,0
Authentication,1724942057.754539,10105.497,112549.0,3540.0,0
Authentication,1724942057.7647662,10080.768,115295.0,4150.0,0
Authentication,1724942057.774995,13835.719,187622.0,11902.0,0
Authentication,1724942057.7889915,11134.82,120422.0,7447.0,0
Authentication,1724942057.8002725,9918.077,111633.0,4089.0,0
Authentication,1724942057.8103247,9991.905,111938.0,4455.0,0
Authentication,1724942057.8204532,11290.031,157653.0,8362.0,0
Authentication,1724942057.8319156,10345.184,115173.0,5615.0,0
Authentication,1724942057.8423967,10614.24,117554.0,4395.0,0
Authentication,1724942057.8531363,10141.537,110778.0,4150.0,0
Authentication,1724942057.8634145,10324.649,139221.0,7264.0,0
Authentication,1724942057.8738692,11210.488,130066.0,8728.0,0
Authentication,1724942057.8853862,10807.231,115722.0,4638.0,0
Authentication,1724942057.8965294,10524.016,127685.0,5432.0,0
Authentication,1724942057.9073937,10465.111,134827.0,6470.0,0
Authentication,1724942057.9180274,12784.265,145751.0,9216.0,0
Authentication,1724942057.9311438,10835.104,108704.0,4334.0,0
Authentication,1724942057.942385,9829.022,123229.0,6103.0,0
Authentication,1724942057.9525387,11539.982,151245.0,11109.0,0
Authentication,1724942057.9643774,10983.007,118286.0,6286.0,0
Authentication,1724942057.975572,11550.535,123290.0,4639.0,0
Authentication,1724942057.9874446,10541.705,126160.0,5615.0,0
Authentication,1724942057.9984052,10031.993,127258.0,7996.0,0
Authentication,1724942058.008714,10922.816,120178.0,7141.0,0
Authentication,1724942058.0197835,10186.348,104065.0,3967.0,0
Authentication,1724942058.0304556,10699.116,121704.0,5920.0,0
Authentication,1724942058.0415463,10745.845,138122.0,7081.0,0
Authentication,1724942058.0526898,10614.398,107849.0,6470.0,0
Authentication,1724942058.0636911,9469.083,94177.0,3479.0,0
Authentication,1724942058.0735624,9995.375,131225.0,6043.0,0
Authentication,1724942058.0837822,10238.269,109314.0,5065.0,0
Authentication,1724942058.0945258,11047.013,141723.0,9278.0,0
Authentication,1724942058.1058192,9886.942,102722.0,4272.0,0
Authentication,1724942058.115815,10273.693,115417.0,5188.0,0
Authentication,1724942058.1265676,10734.544,130615.0,6165.0,0
Authentication,1724942058.1377344,11039.687,118835.0,7569.0,0
Authentication,1724942058.148993,9906.03,104004.0,3906.0,0
Authentication,1724942058.1593642,11110.63,120117.0,6348.0,0
Authentication,1724942058.170782,10330.494,112671.0,5371.0,0
Authentication,1724942058.1815917,11582.978,132385.0,9338.0,0
Authentication,1724942058.193538,9740.628,104553.0,4578.0,0
Authentication,1724942058.2036445,10848.373,122192.0,5310.0,0
Authentication,1724942058.2147846,10137.76,118164.0,5127.0,0
Authentication,1724942058.2254243,10765.845,123168.0,8423.0,0
Authentication,1724942058.236616,9496.385,93140.0,3906.0,0
Authentication,1724942058.2464924,11141.084,134399.0,6226.0,0
Authentication,1724942058.257753,9975.026,112426.0,4944.0,0
Authentication,1724942058.2678523,11015.534,125793.0,7080.0,0
Authentication,1724942058.2792845,9803.742,106323.0,4028.0,0
Authentication,1724942058.2894063,10713.457,121887.0,5615.0,0
Authentication,1724942058.3005486,9667.853,109863.0,4273.0,0
Authentication,1724942058.3106756,11046.926,146179.0,8911.0,0
Authentication,1724942058.3218393,9768.376,98572.0,5554.0,0
Authentication,1724942058.3318026,11459.287,116089.0,5494.0,0
Authentication,1724942058.3436775,9648.663,107848.0,3967.0,0
Authentication,1724942058.3536108,11704.58,139954.0,9155.0,0
Authentication,1724942058.3656745,9745.112,109863.0,4760.0,0
Authentication,1724942058.3756979,11435.216,132018.0,6165.0,0
Authentication,1724942058.3876004,9524.89,107849.0,4211.0,0
Authentication,1724942058.3975022,12378.67,145874.0,9278.0,0
Authentication,1724942058.4103014,9921.251,109008.0,5676.0,0
Authentication,1724942058.4206104,10670.242,127686.0,6775.0,0
Authentication,1724942058.4317193,34554.473,200988.0,19592.0,0
Authentication,1724942058.4664233,52917.852,252014.0,32959.0,0
Authentication,1724942058.5195475,40367.271,159667.0,21545.0,0
Authentication,1724942058.5601194,39392.448,152771.0,20142.0,0
Authentication,1724942058.5997314,39875.145,160705.0,24536.0,0
Authentication,1724942058.6398861,40226.263,157227.0,22949.0,0
Authentication,1724942058.6803195,39779.769,154235.0,19959.0,0
Authentication,1724942058.720314,39482.937,155456.0,20629.0,0
Authentication,1724942058.7600448,40102.315,153137.0,20630.0,0
Authentication,1724942058.800364,39749.415,154968.0,20813.0,0
Authentication,1724942058.8403196,39515.225,157287.0,20630.0,0
Authentication,1724942058.8800664,40126.863,151916.0,19959.0,0
Authentication,1724942058.9204009,39330.023,160339.0,20568.0,0
Authentication,1724942058.9599538,39865.096,157409.0,20264.0,0
Authentication,1724942059.0000505,39768.316,158813.0,20508.0,0
Authentication,1724942059.0400574,40068.334,159058.0,23376.0,0
Authentication,1724942059.0803356,40063.587,152404.0,20081.0,0
Authentication,1724942059.120604,39857.971,151245.0,20751.0,0
Authentication,1724942059.1606731,39630.753,152892.0,20264.0,0
Authentication,1724942059.2005162,39567.601,160034.0,22278.0,0
Authentication,1724942059.2403085,40023.315,153869.0,20447.0,0
Authentication,1724942059.2805595,40004.04,151856.0,20141.0,0
Authentication,1724942059.3207803,39672.153,154601.0,22095.0,0
Authentication,1724942059.360665,39413.898,156433.0,21241.0,0
Authentication,1724942059.400296,39868.61,156494.0,20751.0,0
Authentication,1724942059.4403682,40157.393,154357.0,20874.0,0
Authentication,1724942059.4807422,39494.746,152709.0,20996.0,0
Authentication,1724942059.520446,40268.095,159241.0,21118.0,0
Authentication,1724942059.560949,40132.617,153930.0,20202.0,0
Authentication,1724942059.6012979,39459.049,155883.0,20630.0,0
Authentication,1724942059.6409907,39811.296,157288.0,20508.0,0
Authentication,1724942059.6810431,39748.752,155273.0,20020.0,0
Authentication,1724942059.721043,39823.954,154662.0,20629.0,0
Authentication,1724942059.7610898,39565.273,155579.0,24292.0,0
Authentication,1724942059.8008888,39529.166,152160.0,19958.0,0
Authentication,1724942059.8406372,31928.072,139953.0,17456.0,0
Authentication,1724942059.872786,40204.354,156860.0,22644.0,0
