label,timestamp,duration,pkg,dram,socket
Authentication,1724955625.9805887,2921794.503,26762078.0,1153745.0,0
Authentication,1724955628.902495,16984.685,206664.0,9094.0,0
Authentication,1724955628.9196036,17506.509,222229.0,13061.0,0
Authentication,1724955628.9372108,17051.378,205382.0,12635.0,0
Authentication,1724955628.9543982,15879.186,188721.0,10925.0,0
Authentication,1724955628.9703922,15741.651,197997.0,10925.0,0
Authentication,1724955628.9863076,15636.064,165039.0,9094.0,0
Authentication,1724955629.0020587,17414.931,188721.0,10193.0,0
Authentication,1724955629.0196052,14003.615,163818.0,11291.0,0
Authentication,1724955629.0337543,15844.367,184630.0,12390.0,0
Authentication,1724955629.0497334,15564.661,190552.0,13733.0,0
Authentication,1724955629.0654557,14804.111,172301.0,11047.0,0
Authentication,1724955629.0804136,14782.732,152161.0,9644.0,0
Authentication,1724955629.0953395,15767.139,173095.0,12512.0,0
Authentication,1724955629.1112692,14342.477,174133.0,10132.0,0
Authentication,1724955629.1257632,14904.992,171081.0,11230.0,0
Authentication,1724955629.1408262,15386.294,192199.0,14343.0,0
Authentication,1724955629.1563272,13212.771,147339.0,9583.0,0
Authentication,1724955629.169645,14696.945,187560.0,11780.0,0
Authentication,1724955629.1844988,14067.334,172363.0,12024.0,0
Authentication,1724955629.1986732,14715.549,182312.0,12084.0,0
Authentication,1724955629.2135382,15408.717,179321.0,9705.0,0
Authentication,1724955629.2292352,15061.187,183593.0,11230.0,0
Authentication,1724955629.2445166,14633.698,164794.0,10131.0,0
Authentication,1724955629.259308,13448.378,169861.0,9827.0,0
Authentication,1724955629.2731621,18020.858,221740.0,16846.0,0
Authentication,1724955629.2914846,13488.865,152710.0,8239.0,0
Authentication,1724955629.3053606,16429.686,215148.0,13733.0,0
Authentication,1724955629.322119,13357.396,169739.0,9705.0,0
Authentication,1724955629.3356454,13808.621,172546.0,8301.0,0
Authentication,1724955629.3496144,15951.11,207580.0,14282.0,0
Authentication,1724955629.3659806,14862.482,179076.0,10620.0,0
Authentication,1724955629.3812644,14796.416,175171.0,8850.0,0
Authentication,1724955629.3961706,13942.328,187926.0,11719.0,0
