label,timestamp,duration,pkg,dram,socket
Visiting,1724955481.8901289,1395394.596,9280494.0,492492.0,0
Visiting,1724955483.2860293,15625.755,201049.0,12573.0,0
Visiting,1724955483.3021617,14243.394,192016.0,12878.0,0
Visiting,1724955483.3165195,15040.963,200439.0,14283.0,0
Visiting,1724955483.3319407,14283.981,172485.0,9521.0,0
Visiting,1724955483.3464563,14679.141,188842.0,11292.0,0
Visiting,1724955483.3613584,15031.889,187988.0,11657.0,0
Visiting,1724955483.3765075,14612.04,202026.0,13855.0,0
Visiting,1724955483.3914003,13766.684,178344.0,12085.0,0
Visiting,1724955483.40541,14532.013,177368.0,12146.0,0
Visiting,1724955483.4202962,14514.001,183410.0,13977.0,0
Visiting,1724955483.4351902,14430.682,172851.0,10925.0,0
Visiting,1724955483.4501462,14126.68,158508.0,9766.0,0
Visiting,1724955483.4643898,15889.978,188049.0,11597.0,0
Visiting,1724955483.4804893,14283.682,176452.0,10864.0,0
Visiting,1724955483.4952152,14598.967,182373.0,12329.0,0
Visiting,1724955483.5102377,14054.796,171447.0,12939.0,0
Visiting,1724955483.5244725,14352.912,170532.0,9521.0,0
Visiting,1724955483.5392451,13699.75,171874.0,11231.0,0
Visiting,1724955483.5533042,14085.887,168030.0,11901.0,0
Visiting,1724955483.5675097,13656.086,151245.0,7873.0,0
Visiting,1724955483.5814753,14873.004,178893.0,11231.0,0
Visiting,1724955483.5964684,14985.796,176147.0,13733.0,0
Visiting,1724955483.6115837,14957.406,167786.0,9948.0,0
Visiting,1724955483.6266623,16036.732,177612.0,11475.0,0
Visiting,1724955483.6428196,15612.628,183715.0,14221.0,0
Visiting,1724955483.6585677,15727.827,164184.0,9522.0,0
Visiting,1724955483.6744263,16961.024,192749.0,14221.0,0
Visiting,1724955483.691515,15056.219,179992.0,12451.0,0
Visiting,1724955483.7066882,15543.775,182251.0,10926.0,0
Visiting,1724955483.7223592,15005.33,184264.0,11596.0,0
Visiting,1724955483.7374814,14283.42,178955.0,12268.0,0
Visiting,1724955483.7518888,15616.76,192260.0,13123.0,0
Visiting,1724955483.7676404,15220.507,186035.0,13672.0,0
Visiting,1724955483.782977,14937.992,176574.0,12268.0,0
Visiting,1724955483.798032,14804.324,181457.0,10986.0,0
Visiting,1724955483.8129604,14588.31,170837.0,8972.0,0
Visiting,1724955483.8276687,14190.9,158203.0,7508.0,0
Visiting,1724955483.8419778,15831.817,196105.0,12084.0,0
Visiting,1724955483.8579488,15006.157,180481.0,13184.0,0
Visiting,1724955483.873074,15270.257,171020.0,10010.0,0
Visiting,1724955483.8884609,15473.649,188293.0,11658.0,0
Visiting,1724955483.9040623,14895.199,187805.0,13549.0,0
Visiting,1724955483.919076,14744.893,183166.0,9888.0,0
Visiting,1724955483.9339552,16823.349,206359.0,13367.0,0
Visiting,1724955483.9509323,17876.595,212463.0,13977.0,0
Visiting,1724955483.9689813,19093.924,216003.0,12085.0,0
Visiting,1724955483.9882631,15212.334,196960.0,12695.0,0
Visiting,1724955484.0036426,64203.828,274536.0,34485.0,0
Visiting,1724955484.0681126,16807.941,129577.0,10803.0,0
Visiting,1724955484.0850513,15825.176,179748.0,10132.0,0
Visiting,1724955484.1010115,15869.637,190673.0,10986.0,0
Visiting,1724955484.1170099,15304.427,180908.0,9583.0,0
Visiting,1724955484.13244,15619.256,196960.0,13183.0,0
Visiting,1724955484.148178,15025.201,188354.0,12512.0,0
Visiting,1724955484.163318,15119.549,199096.0,12574.0,0
Visiting,1724955484.1785939,14340.167,176819.0,12023.0,0
Visiting,1724955484.193051,15133.28,187438.0,12391.0,0
Visiting,1724955484.208311,14825.061,189392.0,12023.0,0
Visiting,1724955484.223264,14215.79,184081.0,11231.0,0
Visiting,1724955484.2376137,15446.073,183471.0,12085.0,0
Visiting,1724955484.253217,16160.428,209411.0,13672.0,0
Visiting,1724955484.2695124,18219.92,203796.0,10681.0,0
Visiting,1724955484.287867,16400.571,205627.0,14099.0,0
Visiting,1724955484.304396,16137.304,193298.0,11292.0,0
Visiting,1724955484.320664,17479.611,199951.0,10376.0,0
Visiting,1724955484.3384662,17493.342,204345.0,14038.0,0
Visiting,1724955484.3560967,14475.993,185974.0,9155.0,0
Visiting,1724955484.3706982,16169.88,204101.0,13428.0,0
Visiting,1724955484.3869972,16684.268,200927.0,11109.0,0
Visiting,1724955484.4038205,16443.073,193176.0,9948.0,0
Visiting,1724955484.420402,14299.005,196350.0,12757.0,0
Visiting,1724955484.434829,14747.382,181579.0,9765.0,0
Visiting,1724955484.4497051,14489.88,164062.0,8301.0,0
Visiting,1724955484.4643328,15364.758,196227.0,12817.0,0
Visiting,1724955484.4798088,14502.585,167297.0,9217.0,0
Visiting,1724955484.494429,15913.48,198547.0,10925.0,0
Visiting,1724955484.5104668,15096.131,183471.0,12329.0,0
Visiting,1724955484.5256755,14348.456,174011.0,9460.0,0
Visiting,1724955484.5401578,15567.947,204528.0,12696.0,0
Visiting,1724955484.5558882,14817.875,184448.0,12146.0,0
Visiting,1724955484.57083,14939.412,179138.0,9826.0,0
Visiting,1724955484.5858958,16458.47,212585.0,12757.0,0
Visiting,1724955484.6024933,15598.625,180236.0,12023.0,0
Visiting,1724955484.618232,15823.761,188476.0,10010.0,0
Visiting,1724955484.6342015,14861.433,197204.0,13062.0,0
Visiting,1724955484.6492033,14395.298,182556.0,10009.0,0
Visiting,1724955484.6637251,14296.658,172546.0,8850.0,0
Visiting,1724955484.6781497,14040.421,188781.0,11109.0,0
Visiting,1724955484.6923492,15289.746,192871.0,11108.0,0
Visiting,1724955484.7077544,15846.326,200256.0,11353.0,0
Visiting,1724955484.7237449,15615.597,197143.0,10620.0,0
Visiting,1724955484.7394836,14851.448,181213.0,9399.0,0
Visiting,1724955484.754469,14790.714,189818.0,12024.0,0
Visiting,1724955484.7693822,14383.832,177368.0,10803.0,0
Visiting,1724955484.7838922,14401.788,186889.0,12268.0,0
Visiting,1724955484.7984788,15390.512,188782.0,12757.0,0
Visiting,1724955484.814294,14484.133,185424.0,10864.0,0
Visiting,1724955484.8292074,13840.272,172729.0,9766.0,0
Visiting,1724955484.843333,14186.779,186340.0,11047.0,0
Visiting,1724955484.8580027,14226.244,190490.0,12024.0,0
Visiting,1724955484.8723438,13895.871,174316.0,9460.0,0
Visiting,1724955484.8863983,33492.736,277648.0,22400.0,0
Visiting,1724955484.920045,63276.707,256103.0,36072.0,0
Visiting,1724955484.984233,56702.62,208862.0,34058.0,0
Visiting,1724955485.0411665,54685.854,246703.0,32348.0,0
Visiting,1724955485.0960426,57705.319,248535.0,33326.0,0
Visiting,1724955485.1540015,57430.081,212768.0,36193.0,0
Visiting,1724955485.211809,63982.671,210449.0,35034.0,0
Visiting,1724955485.2760835,63935.509,207580.0,34241.0,0
Visiting,1724955485.3403819,63784.306,208618.0,33752.0,0
Visiting,1724955485.4045472,63475.906,205383.0,34119.0,0
Visiting,1724955485.468364,47144.646,175781.0,22888.0,0
Visiting,1724955485.5157268,45781.619,193420.0,22644.0,0
Visiting,1724955485.5617747,47999.455,180724.0,22644.0,0
Visiting,1724955485.6100378,77316.492,239136.0,43091.0,0
Visiting,1724955485.68809,68658.783,198791.0,35888.0,0
Visiting,1724955485.7575061,57692.173,186096.0,30762.0,0
Visiting,1724955485.8155975,51637.563,172241.0,24292.0,0
Visiting,1724955485.8675506,49891.538,167297.0,23865.0,0
Visiting,1724955485.9177308,52075.483,174621.0,24536.0,0
Visiting,1724955485.9704154,77374.137,227660.0,35950.0,0
Visiting,1724955486.0485017,87110.04,231322.0,42724.0,0
Visiting,1724955486.1364164,63100.732,185302.0,31738.0,0
Visiting,1724955486.200409,62844.261,185790.0,31982.0,0
Visiting,1724955486.2640593,58908.29,192078.0,31067.0,0
Visiting,1724955486.323207,62406.262,229430.0,31006.0,0
Visiting,1724955486.3858223,48240.287,187866.0,23681.0,0
Visiting,1724955486.4342842,47735.473,178039.0,22827.0,0
Visiting,1724955486.4822464,47948.85,177185.0,22583.0,0
Visiting,1724955486.530399,47815.67,180419.0,22644.0,0
Visiting,1724955486.5784345,47765.52,180847.0,22889.0,0
Visiting,1724955486.6264238,47927.202,179565.0,22766.0,0
Visiting,1724955486.6745765,47818.871,185241.0,25939.0,0
Visiting,1724955486.722652,47956.233,181091.0,23438.0,0
Visiting,1724955486.7708573,47485.507,175171.0,23010.0,0
Visiting,1724955486.8186262,47994.796,177611.0,22888.0,0
Visiting,1724955486.8668773,47310.438,180541.0,22339.0,0
Visiting,1724955486.9144194,71590.091,235900.0,34057.0,0
Visiting,1724955486.9865048,81640.388,242187.0,40344.0,0
Visiting,1724955487.0684104,77406.502,220764.0,35278.0,0
Visiting,1724955487.1463046,79185.674,235290.0,39734.0,0
Visiting,1724955487.2257056,66471.646,243407.0,31250.0,0
Visiting,1724955487.2925017,85810.225,236816.0,39673.0,0
Visiting,1724955487.378839,86946.362,239807.0,42175.0,0
Visiting,1724955487.4662678,81795.677,248840.0,39856.0,0
Visiting,1724955487.5483344,37325.606,136596.0,19287.0,0
Visiting,1724955487.5863607,49817.158,175903.0,27649.0,0
Visiting,1724955487.636732,47453.162,161010.0,22766.0,0
Visiting,1724955487.6848996,51920.014,157959.0,24902.0,0
Visiting,1724955487.7378318,66635.357,193725.0,35034.0,0
Visiting,1724955487.8050148,56472.674,173705.0,26917.0,0
Visiting,1724955487.862048,71039.096,221985.0,38269.0,0
Visiting,1724955487.9335678,90729.162,259643.0,50171.0,0
Visiting,1724955488.0249538,208235.666,498961.0,92773.0,0
Visiting,1724955488.234118,106871.163,285339.0,48828.0,0
Visiting,1724955488.3419735,64192.549,186279.0,32959.0,0
Visiting,1724955488.4068944,42560.017,139282.0,23681.0,0
Visiting,1724955488.449784,28853.287,129639.0,16113.0,0
Visiting,1724955488.4792423,21845.528,127196.0,12391.0,0
Visiting,1724955488.5012665,22844.23,139832.0,14099.0,0
Visiting,1724955488.5245214,22152.732,126587.0,11963.0,0
Visiting,1724955488.546853,22581.187,137756.0,14099.0,0
Visiting,1724955488.5698655,21637.752,127502.0,12329.0,0
Visiting,1724955488.5916903,22495.572,131408.0,14649.0,0
Visiting,1724955488.61447,21494.454,127075.0,12512.0,0
Visiting,1724955488.6363423,21202.222,135863.0,14771.0,0
Visiting,1724955488.6579378,20782.14,123535.0,12634.0,0
Visiting,1724955488.678904,22359.721,135071.0,14343.0,0
Visiting,1724955488.7014756,21082.421,122802.0,11780.0,0
Visiting,1724955488.723057,21825.476,135376.0,14648.0,0
Visiting,1724955488.7452857,22485.727,137389.0,15320.0,0
Visiting,1724955488.7681797,22560.528,135986.0,14649.0,0
