label,timestamp,duration,pkg,dram,socket
IoT,1724440317.7441368,1117.255,10071.0,977.0,0
IoT,1724440317.7454367,913.255,14526.0,2441.0,0
IoT,1724440317.746525,666.564,0.0,0.0,0
IoT,1724440317.7473423,648.55,18127.0,1465.0,0
IoT,1724440317.7481406,687.071,16297.0,1282.0,0
IoT,1724440317.748997,729.339,18737.0,1465.0,0
IoT,1724440317.749872,794.219,17517.0,1343.0,0
IoT,1724440317.7508419,794.264,17090.0,1587.0,0
IoT,1724440317.751799,697.448,17761.0,1525.0,0
IoT,1724440317.7526684,739.894,16846.0,1343.0,0
IoT,1724440317.7535763,665.03,0.0,0.0,0
IoT,1724440317.7543974,763.228,18188.0,1404.0,0
IoT,1724440317.7553148,736.953,17701.0,1465.0,0
IoT,1724440317.7562025,1220.887,30944.0,2502.0,0
IoT,1724440317.7576,720.134,0.0,0.0,0
IoT,1724440317.7584593,746.153,17700.0,0.0,0
IoT,1724440317.7593703,744.927,17273.0,1282.0,0
IoT,1724440317.760281,761.255,17029.0,1343.0,0
IoT,1724440317.7611825,731.19,16724.0,1281.0,0
IoT,1724440317.7620723,718.004,18127.0,1465.0,0
IoT,1724440317.762936,723.094,17578.0,1404.0,0
IoT,1724440317.7638013,755.903,18189.0,1404.0,0
IoT,1724440317.7647042,703.244,16967.0,1343.0,0
IoT,1724440317.7655504,702.682,0.0,0.0,0
IoT,1724440317.7664135,787.905,18067.0,1342.0,0
IoT,1724440317.7673614,773.53,17273.0,1404.0,0
IoT,1724440317.7683063,664.053,17334.0,1404.0,0
IoT,1724440317.7691138,734.888,17761.0,1404.0,0
IoT,1724440317.7700264,665.736,16784.0,1281.0,0
IoT,1724440317.7708554,708.199,17945.0,1404.0,0
IoT,1724440317.7717242,832.907,16662.0,1526.0,0
IoT,1724440317.772704,775.508,18067.0,1465.0,0
IoT,1724440317.7735946,763.464,0.0,0.0,0
IoT,1724440317.7744985,701.158,0.0,0.0,0
IoT,1724440317.775367,689.152,18554.0,1465.0,0
IoT,1724440317.7762394,712.063,16785.0,1403.0,0
IoT,1724440317.7770855,700.605,17883.0,1465.0,0
IoT,1724440317.7779467,664.057,18006.0,1465.0,0
IoT,1724440317.778776,691.366,16540.0,1282.0,0
IoT,1724440317.7796,833.727,17456.0,1404.0,0
IoT,1724440317.7805932,708.556,0.0,0.0,0
IoT,1724440317.7814524,766.473,18311.0,0.0,0
IoT,1724440317.7823822,751.732,17639.0,1404.0,0
IoT,1724440317.7832725,691.471,16723.0,1343.0,0
IoT,1724440317.7841249,860.587,17945.0,1648.0,0
IoT,1724440317.785157,724.258,17883.0,1709.0,0
IoT,1724440317.7860582,723.662,19165.0,1587.0,0
IoT,1724440317.7869387,689.588,19470.0,1770.0,0
IoT,1724440317.7877886,801.301,17883.0,1526.0,0
IoT,1724440317.7887304,758.671,17395.0,1953.0,0
IoT,1724440317.7896202,693.182,0.0,1892.0,0
IoT,1724440317.790527,914.64,18799.0,2380.0,0
IoT,1724440317.79163,715.786,0.0,1465.0,0
IoT,1724440317.7925081,800.96,0.0,0.0,0
IoT,1724440317.7934773,828.258,0.0,0.0,0
IoT,1724440317.7944875,815.097,0.0,0.0,0
IoT,1724440317.7954695,795.38,0.0,0.0,0
IoT,1724440317.7964704,792.713,0.0,0.0,0
IoT,1724440317.7974327,760.128,0.0,0.0,0
IoT,1724440317.798349,735.642,16113.0,1404.0,0
IoT,1724440317.7992363,709.596,16785.0,1404.0,0
IoT,1724440317.800122,802.686,15869.0,1404.0,0
IoT,1724440317.8010936,815.863,15503.0,1343.0,0
IoT,1724440317.8020422,792.551,15320.0,1403.0,0
IoT,1724440317.8029811,787.037,16235.0,1404.0,0
IoT,1724440317.803947,736.963,17761.0,1404.0,0
IoT,1724440317.8048337,783.902,15869.0,1282.0,0
IoT,1724440317.8057551,91890.87,200073.0,37719.0,0
IoT,1724440317.8982265,698721.531,1541683.0,253845.0,0
IoT,1724440318.597636,20248.33,56030.0,13244.0,0
IoT,1724440318.6184669,19023.277,50842.0,11536.0,0
IoT,1724440318.6380734,21967.417,60425.0,15808.0,0
IoT,1724440318.6605868,3019.189,10986.0,2685.0,0
IoT,1724440318.664555,20582.594,55359.0,13244.0,0
IoT,1724440318.6856372,22641.43,69518.0,15381.0,0
IoT,1724440318.708617,22951.919,63660.0,12146.0,0
IoT,1724440318.7320464,40082.35,106201.0,23560.0,0
IoT,1724440318.772681,3116.426,12573.0,2929.0,0
IoT,1724440318.7764482,22420.275,54688.0,11719.0,0
IoT,1724440318.7994497,3546.673,15686.0,4395.0,0
IoT,1724440318.8035555,32572.898,80505.0,17822.0,0
IoT,1724440318.8367946,16499.958,49743.0,11108.0,0
IoT,1724440318.854036,38162.977,99548.0,21607.0,0
IoT,1724440318.8926508,23520.014,64148.0,13977.0,0
IoT,1724440318.9166815,2709.877,10864.0,3235.0,0
IoT,1724440318.9200563,2766.135,9278.0,2686.0,0
IoT,1724440318.9234717,17982.654,45288.0,9826.0,0
IoT,1724440318.9420285,18455.038,51148.0,13611.0,0
IoT,1724440318.9612343,35434.554,85144.0,17945.0,0
IoT,1724440318.9974053,46856.152,118957.0,25757.0,0
IoT,1724440319.0447783,31328.266,84900.0,20630.0,0
IoT,1724440319.0764904,16737.443,42358.0,10681.0,0
IoT,1724440319.0936575,24722.741,64942.0,13122.0,0
IoT,1724440319.1188095,22599.569,59509.0,13123.0,0
IoT,1724440319.1418357,23482.166,58349.0,11536.0,0
IoT,1724440319.166047,38315.456,92407.0,18433.0,0
IoT,1724440319.2051902,47127.886,124328.0,29541.0,0
IoT,1724440319.2529607,39541.016,104553.0,23193.0,0
IoT,1724440319.2932467,42820.59,117065.0,32349.0,0
IoT,1724440319.3365343,43774.337,116943.0,27709.0,0
IoT,1724440319.3809683,46655.658,138794.0,30823.0,0
