label,timestamp,duration,pkg,dram,socket
BaseStation,1724940152.128692,729468.465,6706586.0,273681.0,0
BaseStation,1724940152.8583498,611.475,14038.0,1099.0,0
BaseStation,1724940152.8592722,590.454,16785.0,1404.0,0
BaseStation,1724940152.860018,602.318,0.0,0.0,0
BaseStation,1724940152.860786,670.692,17273.0,1403.0,0
BaseStation,1724940152.8615875,775.271,17883.0,1343.0,0
BaseStation,1724940152.8625116,724.732,16724.0,1343.0,0
BaseStation,1724940152.863362,737.965,17883.0,1404.0,0
BaseStation,1724940152.8642306,745.34,17456.0,1404.0,0
BaseStation,1724940152.8651302,737.623,17029.0,1281.0,0
BaseStation,1724940152.8660307,749.277,0.0,0.0,0
BaseStation,1724940152.8669338,784.662,0.0,0.0,0
BaseStation,1724940152.8678622,685.557,17212.0,1343.0,0
BaseStation,1724940152.8686895,791.496,15991.0,1343.0,0
BaseStation,1724940152.8696299,735.071,17334.0,1464.0,0
BaseStation,1724940152.8705316,705.294,17517.0,1343.0,0
BaseStation,1724940152.8713746,700.643,18860.0,1404.0,0
BaseStation,1724940152.8722258,817.479,16907.0,1282.0,0
BaseStation,1724940152.8731782,733.505,17883.0,1403.0,0
BaseStation,1724940152.8740294,662.784,0.0,0.0,0
BaseStation,1724940152.8748286,731.656,18005.0,1404.0,0
BaseStation,1724940152.8756893,711.261,17883.0,1404.0,0
BaseStation,1724940152.876555,794.702,17029.0,1343.0,0
BaseStation,1724940152.8774953,712.754,16174.0,1343.0,0
BaseStation,1724940152.8783653,756.123,17334.0,1342.0,0
BaseStation,1724940152.8792825,724.515,16480.0,1282.0,0
BaseStation,1724940152.8801687,754.462,16540.0,1404.0,0
BaseStation,1724940152.881052,679.537,0.0,0.0,0
BaseStation,1724940152.8818638,750.648,18067.0,1465.0,0
BaseStation,1724940152.8827515,747.572,16662.0,1282.0,0
BaseStation,1724940152.8836167,749.288,18433.0,1403.0,0
BaseStation,1724940152.8844779,701.405,17395.0,1343.0,0
BaseStation,1724940152.8853269,680.509,17212.0,1343.0,0
BaseStation,1724940152.886155,670.508,18371.0,1404.0,0
BaseStation,1724940152.8869822,713.007,0.0,0.0,0
BaseStation,1724940152.8878362,697.455,18066.0,1403.0,0
BaseStation,1724940152.88867,785.635,18433.0,1465.0,0
BaseStation,1724940152.8895905,802.787,15869.0,1282.0,0
BaseStation,1724940152.8905256,747.455,17212.0,1282.0,0
BaseStation,1724940152.8914351,695.647,17029.0,1404.0,0
BaseStation,1724940152.892294,727.539,17578.0,1403.0,0
BaseStation,1724940152.8931553,793.602,17151.0,1282.0,0
BaseStation,1724940152.89408,762.243,15869.0,1221.0,0
BaseStation,1724940152.8949912,798.156,19287.0,1648.0,0
BaseStation,1724940152.8959405,824.695,19409.0,1831.0,0
BaseStation,1724940152.8971972,853.93,17456.0,1770.0,0
BaseStation,1724940152.8982685,775.556,18555.0,1892.0,0
BaseStation,1724940152.8991942,745.695,17273.0,1526.0,0
BaseStation,1724940152.900079,643.024,0.0,0.0,0
BaseStation,1724940152.900897,696.643,19653.0,0.0,0
BaseStation,1724940152.9017272,760.012,17273.0,1342.0,0
BaseStation,1724940152.902625,702.861,16845.0,1404.0,0
BaseStation,1724940152.9034817,706.137,17273.0,1404.0,0
BaseStation,1724940152.9043357,788.861,16907.0,1343.0,0
BaseStation,1724940152.9052458,795.483,17517.0,1282.0,0
BaseStation,1724940152.9061806,685.228,15503.0,1342.0,0
BaseStation,1724940152.9073865,719.161,15625.0,1160.0,0
BaseStation,1724940152.9082668,676.861,19104.0,1526.0,0
BaseStation,1724940152.9090924,680.303,0.0,0.0,0
BaseStation,1724940152.9099011,677.116,0.0,0.0,0
BaseStation,1724940152.910728,673.695,18799.0,1465.0,0
BaseStation,1724940152.9115531,664.382,17517.0,1342.0,0
BaseStation,1724940152.9123607,712.746,16601.0,1343.0,0
BaseStation,1724940152.9132354,726.721,17945.0,1404.0,0
BaseStation,1724940152.914112,689.05,0.0,1526.0,0
BaseStation,1724940152.9149747,694.323,0.0,0.0,0
BaseStation,1724940152.9158056,701.847,16236.0,1281.0,0
BaseStation,1724940152.9166446,742.314,18127.0,1404.0,0
BaseStation,1724940152.9175372,722.591,17334.0,1404.0,0
BaseStation,1724940152.918405,660.667,17395.0,1404.0,0
BaseStation,1724940152.9191935,708.92,18371.0,1465.0,0
BaseStation,1724940152.9200397,649.202,0.0,0.0,0
BaseStation,1724940152.9208267,659.935,18616.0,1404.0,0
BaseStation,1724940152.9216263,706.914,18005.0,1464.0,0
BaseStation,1724940152.9224777,706.515,18128.0,1404.0,0
BaseStation,1724940152.923327,662.813,18432.0,1404.0,0
BaseStation,1724940152.9241476,647.741,0.0,0.0,0
BaseStation,1724940152.9249418,682.432,0.0,0.0,0
BaseStation,1724940152.9257858,702.387,18372.0,1465.0,0
BaseStation,1724940152.9266214,682.91,18676.0,1403.0,0
BaseStation,1724940152.927435,672.063,16785.0,1343.0,0
BaseStation,1724940152.928233,703.094,18250.0,1465.0,0
BaseStation,1724940152.9290984,746.227,17822.0,1404.0,0
BaseStation,1724940152.929998,736.356,0.0,0.0,0
BaseStation,1724940152.9308846,653.671,0.0,0.0,0
BaseStation,1724940152.9316835,676.957,18128.0,1403.0,0
BaseStation,1724940152.9325225,738.809,16296.0,1343.0,0
BaseStation,1724940152.9334025,727.0,18067.0,1343.0,0
BaseStation,1724940152.9342637,693.567,18798.0,1404.0,0
BaseStation,1724940152.9350967,726.157,19409.0,1648.0,0
